ID,Principal,Maturity,Coupon Rate,LGD,Counterparty,Number of Bonds,Industry
30857,"$5,000",14-Jun-2018,8.5%,0.526,Goldman Sachs,50,6
33721,"$5,000",12-Nov-2020,6.5%,0.207,Barclays,50,3
43146,"$34,000",6-Nov-2019,8.0%,0.526,Goldman Sachs,340,9
51532,"$7,000",8-Apr-2021,4.5%,0.522,TD Bank,70,3
58589,"$7,000",15-Jan-2020,4.0%,0.522,TD Bank,70,10
57183,"$2,000",1-Feb-2021,3.5%,0.522,Barclays,20,8
39252,"$5,000",4-Jul-2020,7.0%,0.526,Capital One,50,2
45496,"$2,000",20-Jul-2017,8.5%,0.526,US Bancorp,20,2
30300,"$6,000",22-Jul-2019,8.5%,0.526,HSBC,60,8
30303,"$29,000",16-Aug-2020,5.5%,0.287,Capital One,290,5
54035,"$4,000",3-Aug-2018,3.5%,0.522,US Bancorp,40,10
38241,"$12,000",28-Dec-2019,3.5%,0.522,Banco Santander,120,9
52254,"$7,000",17-Sep-2018,3.5%,0.522,Banco Santander,70,5
56394,"$10,000",19-Nov-2019,7.5%,0.522,Capital One,100,10
46232,"$3,000",17-Mar-2020,4.5%,0.287,Wells Fargo,30,5
54189,"$5,000",10-May-2018,7.5%,0.522,TD Bank,50,9
59370,"$5,000",12-Jun-2019,6.0%,0.526,Suntrust,50,1
37880,"$7,000",26-Oct-2017,7.0%,0.292,Goldman Sachs,70,10
48898,"$8,000",19-Apr-2020,9.0%,0.526,Bank of America,80,5
55213,"$17,000",13-Mar-2021,8.5%,0.207,HSBC,170,9
55868,"$3,000",27-Aug-2020,4.0%,0.287,Wells Fargo,30,2
56476,"$1,000",24-Oct-2019,6.0%,0.522,Goldman Sachs,10,8
36023,"$4,000",21-Apr-2020,3.0%,0.207,JPMorgan Chase,40,1
32427,"$3,000",24-Oct-2020,7.0%,0.207,Wells Fargo,30,6
52841,"$6,000",19-Oct-2019,8.5%,0.522,American Express,60,8
45722,"$3,000",5-Jul-2017,8.0%,0.526,US Bancorp,30,6
41490,"$6,000",13-Jul-2020,6.0%,0.207,Bank of America,60,2
35522,"$13,000",26-Jun-2018,3.0%,0.522,Banco Santander,130,9
58680,"$1,000",29-Jul-2020,7.5%,0.287,Wells Fargo,10,4
53366,"$9,000",26-Jul-2017,3.5%,0.207,Fidelity,90,7
32080,"$8,000",26-May-2019,8.5%,0.522,Goldman Sachs,80,9
59242,"$8,000",28-Dec-2017,7.5%,0.207,JPMorgan Chase,80,2
58928,"$21,000",22-Mar-2019,4.0%,0.287,JPMorgan Chase,210,10
32945,"$3,000",26-Jan-2020,5.0%,0.287,Wells Fargo,30,1
54732,"$6,000",13-Aug-2017,9.0%,0.526,JPMorgan Chase,60,7
52543,"$6,000",29-Apr-2019,3.0%,0.207,JPMorgan Chase,60,2
38393,"$2,000",3-Nov-2018,4.5%,0.292,US Bancorp,20,3
31889,"$6,000",24-Nov-2020,3.5%,0.522,Wells Fargo,60,4
48248,"$6,000",27-Aug-2017,6.0%,0.207,Barclays,60,6
33258,"$15,000",29-Oct-2020,9.0%,0.207,Barclays,150,8
36320,"$4,000",2-Feb-2019,5.0%,0.292,Suntrust,40,2
36858,"$3,000",9-May-2019,6.5%,0.522,JPMorgan Chase,30,7
43119,"$6,000",5-Oct-2017,3.5%,0.526,Deutsche Bank,60,2
46405,"$3,000",28-Feb-2021,8.5%,0.522,Barclays,30,8
52822,"$4,000",30-Jan-2021,6.5%,0.526,Barclays,40,4
35350,"$5,000",14-Mar-2020,7.0%,0.287,TD Bank,50,4
32065,"$9,000",15-Mar-2020,5.0%,0.522,Goldman Sachs,90,2
44070,"$4,000",31-Jul-2020,8.0%,0.292,American Express,40,6
52603,"$10,000",5-Jan-2021,6.0%,0.522,Barclays,100,6
32364,"$4,000",27-Sep-2020,6.0%,0.292,US Bancorp,40,1
60498,"$3,000",24-Aug-2017,7.5%,0.526,Capital One,30,2
31956,"$4,000",6-Sep-2020,6.5%,0.522,Wells Fargo,40,7
49869,"$7,000",27-Feb-2018,6.5%,0.522,American Express,70,6
32881,"$7,000",20-Apr-2021,8.5%,0.292,Deutsche Bank,70,1
33956,"$7,000",31-Dec-2017,7.0%,0.207,US Bancorp,70,4
39961,"$8,000",25-Jun-2017,8.0%,0.292,Deutsche Bank,80,1
49678,"$12,000",15-May-2019,8.5%,0.292,American Express,120,2
36433,"$11,000",26-Sep-2018,8.0%,0.522,Bank of America,110,2
48388,"$3,000",31-Aug-2019,9.0%,0.207,Suntrust,30,1
59509,"$5,000",12-May-2018,4.0%,0.287,Banco Santander,50,6
33273,"$6,000",13-Jul-2018,4.5%,0.287,Deutsche Bank,60,8
52281,"$11,000",26-Oct-2020,4.5%,0.292,US Bancorp,110,9
34801,"$3,000",12-Aug-2019,5.5%,0.522,American Express,30,7
32434,"$12,000",6-Jun-2020,8.5%,0.292,Wells Fargo,120,3
55782,"$4,000",28-Jul-2017,4.5%,0.526,TD Bank,40,3
40652,"$15,000",22-Apr-2018,8.0%,0.526,Wells Fargo,150,6
35032,"$13,000",9-Jul-2020,5.5%,0.287,JPMorgan Chase,130,9
54257,"$8,000",30-Jun-2017,9.0%,0.287,JPMorgan Chase,80,2
34126,"$18,000",14-Mar-2018,6.0%,0.287,Goldman Sachs,180,4
44053,"$24,000",14-May-2017,4.5%,0.292,Banco Santander,240,1
51302,"$9,000",12-Jun-2019,8.0%,0.287,US Bancorp,90,3
57098,"$14,000",13-Jul-2018,5.0%,0.287,Barclays,140,10
31029,"$23,000",19-Apr-2020,4.5%,0.292,Bank of America,230,7
58486,"$13,000",27-Jan-2021,7.5%,0.287,Suntrust,130,4
53554,"$2,000",21-Feb-2018,3.0%,0.526,Citigroup,20,3
49693,"$4,000",17-Aug-2018,6.0%,0.292,Citigroup,40,9
50421,"$5,000",21-Feb-2019,6.5%,0.526,HSBC,50,7
53104,"$5,000",13-Aug-2020,8.0%,0.287,Suntrust,50,7
36215,"$23,000",27-Sep-2019,3.5%,0.522,American Express,230,4
59395,"$13,000",26-Sep-2018,6.0%,0.526,Suntrust,130,7
33522,"$42,000",2-Sep-2018,4.0%,0.207,Goldman Sachs,420,4
55572,"$8,000",10-Mar-2020,9.0%,0.292,Bank of America,80,10
55629,"$6,000",7-Apr-2019,6.5%,0.207,Suntrust,60,6
46541,"$2,000",11-Aug-2019,5.5%,0.292,HSBC,20,9
37155,"$14,000",6-Mar-2020,3.5%,0.287,American Express,140,2
32403,"$6,000",16-Apr-2019,7.0%,0.522,HSBC,60,7
46984,"$15,000",19-Apr-2021,6.5%,0.287,Barclays,150,2
47538,"$9,000",4-Sep-2018,7.5%,0.526,Capital One,90,5
53882,"$21,000",13-Feb-2019,8.5%,0.292,Fidelity,210,6
33106,"$3,000",18-Apr-2018,7.5%,0.207,US Bancorp,30,9
34382,"$10,000",15-Jun-2017,7.0%,0.522,Banco Santander,100,4
36714,"$4,000",27-Nov-2019,6.0%,0.522,Bank of America,40,4
43759,"$5,000",7-Mar-2018,5.5%,0.287,HSBC,50,9
57072,"$7,000",15-Dec-2017,7.5%,0.522,Citigroup,70,8
36964,"$23,000",2-Mar-2021,8.5%,0.292,Fidelity,230,6
30931,"$13,000",21-Feb-2018,3.5%,0.292,Barclays,130,2
32789,"$2,000",9-Nov-2019,5.0%,0.292,Banco Santander,20,8
46639,"$4,000",5-Oct-2020,7.5%,0.207,JPMorgan Chase,40,7
34915,"$18,000",21-Feb-2019,8.5%,0.207,Citigroup,180,4
43155,"$10,000",26-Jul-2019,7.5%,0.522,Barclays,100,4
41602,"$8,000",19-Feb-2021,4.5%,0.287,Banco Santander,80,5
31852,"$2,000",30-Sep-2019,5.0%,0.526,Fidelity,20,7
31532,"$3,000",24-Feb-2018,6.0%,0.522,Goldman Sachs,30,7
35886,"$9,000",16-Oct-2017,3.0%,0.207,US Bancorp,90,1
48331,"$6,000",20-Jun-2020,5.5%,0.287,Fidelity,60,4
45501,"$9,000",20-Jun-2017,7.5%,0.287,Deutsche Bank,90,5
48797,"$45,000",16-Jul-2019,6.5%,0.526,Barclays,450,7
43057,"$5,000",11-Jun-2020,6.0%,0.207,Capital One,50,4
44868,"$12,000",22-Jul-2017,4.5%,0.522,Deutsche Bank,120,6
54960,"$8,000",8-Aug-2020,6.5%,0.287,American Express,80,10
30012,"$4,000",14-Jun-2019,6.0%,0.522,Suntrust,40,1
32506,"$7,000",10-Apr-2020,4.0%,0.292,JPMorgan Chase,70,6
38228,"$9,000",11-Jan-2018,6.0%,0.522,Wells Fargo,90,6
57435,"$7,000",16-Nov-2019,3.5%,0.207,Fidelity,70,5
44279,"$18,000",10-Nov-2018,3.5%,0.522,Citigroup,180,5
31474,"$10,000",8-Dec-2017,8.0%,0.207,Capital One,100,4
47572,"$7,000",26-Jan-2018,3.5%,0.287,American Express,70,4
58265,"$2,000",11-Dec-2018,6.0%,0.526,TD Bank,20,2
50117,"$4,000",8-Sep-2020,4.5%,0.292,US Bancorp,40,9
33226,"$1,000",27-Jan-2018,6.0%,0.522,Citigroup,10,4
40834,"$4,000",29-Jan-2021,3.5%,0.522,Goldman Sachs,40,4
49424,"$21,000",21-Nov-2018,7.5%,0.207,Barclays,210,2
60555,"$4,000",1-Jul-2018,5.5%,0.292,Citigroup,40,9
41777,"$4,000",24-Feb-2021,3.5%,0.292,JPMorgan Chase,40,10
39647,"$9,000",8-May-2019,7.0%,0.287,Goldman Sachs,90,2
38798,"$12,000",20-Jun-2019,5.5%,0.287,American Express,120,5
59241,"$15,000",15-Dec-2018,9.0%,0.287,Wells Fargo,150,10
57819,"$4,000",17-May-2017,5.0%,0.287,Capital One,40,7
47487,"$12,000",8-Jun-2017,6.5%,0.287,US Bancorp,120,9
55531,"$10,000",6-May-2021,5.5%,0.207,Suntrust,100,10
35737,"$9,000",30-Dec-2020,7.0%,0.287,Capital One,90,6
47390,"$10,000",29-Nov-2017,5.0%,0.292,Suntrust,100,4
54289,"$8,000",5-Feb-2018,3.5%,0.207,Goldman Sachs,80,3
40826,"$2,000",18-Jun-2018,9.0%,0.207,American Express,20,6
55641,"$4,000",22-Mar-2021,3.0%,0.287,Deutsche Bank,40,6
35623,"$13,000",19-Apr-2018,4.0%,0.207,TD Bank,130,1
56692,"$11,000",8-May-2018,6.5%,0.526,Wells Fargo,110,10
34023,"$7,000",25-Sep-2019,5.5%,0.292,Citigroup,70,1
37864,"$29,000",21-May-2017,3.5%,0.526,Capital One,290,10
33477,"$9,000",27-Aug-2019,4.5%,0.292,JPMorgan Chase,90,1
53421,"$10,000",8-Aug-2020,3.0%,0.526,Suntrust,100,8
50769,"$7,000",6-Aug-2018,5.0%,0.526,TD Bank,70,8
38145,"$7,000",24-Mar-2019,8.0%,0.207,TD Bank,70,3
52179,"$8,000",16-Nov-2019,7.0%,0.292,Citigroup,80,9
42495,"$14,000",20-Jul-2020,8.5%,0.292,TD Bank,140,8
42848,"$6,000",15-Nov-2017,3.0%,0.207,Suntrust,60,1
46347,"$36,000",13-Jan-2021,5.5%,0.526,Capital One,360,5
40223,"$6,000",31-Oct-2019,7.5%,0.287,US Bancorp,60,6
33977,"$8,000",20-Nov-2020,3.0%,0.207,Citigroup,80,1
59172,"$1,000",5-Jun-2017,5.5%,0.207,Wells Fargo,10,9
35622,"$4,000",10-Dec-2017,8.0%,0.526,JPMorgan Chase,40,4
41464,"$16,000",9-Jul-2020,8.5%,0.526,Fidelity,160,5
51890,"$25,000",23-Dec-2019,5.0%,0.522,Deutsche Bank,250,2
56545,"$3,000",21-Apr-2021,7.0%,0.522,Citigroup,30,3
50479,"$5,000",7-Dec-2017,4.0%,0.526,Goldman Sachs,50,5
42736,"$7,000",15-Dec-2020,8.5%,0.522,Suntrust,70,2
47778,"$38,000",23-Feb-2020,4.5%,0.526,American Express,380,10
51020,"$7,000",20-Mar-2020,8.0%,0.526,Citigroup,70,9
59874,"$7,000",27-Jan-2020,8.0%,0.287,HSBC,70,9
49892,"$4,000",14-Apr-2018,4.0%,0.207,Bank of America,40,1
59258,"$5,000",7-Aug-2017,8.0%,0.522,Goldman Sachs,50,5
51013,"$9,000",16-Oct-2019,8.0%,0.207,American Express,90,7
49127,"$10,000",3-Aug-2018,8.0%,0.292,Barclays,100,2
33387,"$3,000",18-Mar-2018,8.5%,0.292,Citigroup,30,10
59211,"$4,000",6-Apr-2021,8.5%,0.207,HSBC,40,7
45475,"$4,000",13-Mar-2021,7.5%,0.287,Citigroup,40,6
46571,"$16,000",17-Nov-2018,8.5%,0.292,JPMorgan Chase,160,4
47652,"$4,000",12-Oct-2018,5.5%,0.526,HSBC,40,2
33496,"$8,000",29-Aug-2020,8.0%,0.287,JPMorgan Chase,80,9
39226,"$6,000",31-Dec-2017,7.5%,0.292,TD Bank,60,3
39149,"$10,000",19-Oct-2020,5.0%,0.207,Deutsche Bank,100,2
32716,"$3,000",20-Aug-2018,6.0%,0.526,Banco Santander,30,10
30341,"$40,000",23-Mar-2020,8.0%,0.207,JPMorgan Chase,400,9
53640,"$5,000",23-Apr-2020,5.5%,0.207,Deutsche Bank,50,5
36146,"$6,000",27-Jan-2019,4.0%,0.207,American Express,60,9
37044,"$13,000",7-Dec-2019,4.5%,0.207,Wells Fargo,130,1
54862,"$7,000",14-Feb-2020,9.0%,0.287,Banco Santander,70,8
57188,"$7,000",19-Aug-2019,8.5%,0.526,US Bancorp,70,9
54980,"$6,000",6-Oct-2019,3.5%,0.292,Deutsche Bank,60,4
41601,"$12,000",7-Jun-2020,4.0%,0.526,Banco Santander,120,10
44526,"$5,000",28-Oct-2020,6.5%,0.292,Fidelity,50,1
41326,"$4,000",4-Feb-2019,5.0%,0.207,Barclays,40,6
40311,"$4,000",10-May-2020,4.0%,0.522,HSBC,40,7
50075,"$18,000",1-May-2018,9.0%,0.526,HSBC,180,5
32161,"$15,000",8-Apr-2020,5.0%,0.292,JPMorgan Chase,150,6
31145,"$6,000",2-Nov-2018,5.0%,0.526,Suntrust,60,9
56208,"$2,000",13-Nov-2017,8.5%,0.207,JPMorgan Chase,20,3
45259,"$8,000",20-Dec-2018,9.0%,0.522,Capital One,80,4
49302,"$11,000",2-Apr-2021,5.5%,0.526,HSBC,110,7
30011,"$5,000",25-Feb-2020,7.0%,0.287,Wells Fargo,50,2
40214,"$7,000",7-Apr-2021,9.0%,0.287,JPMorgan Chase,70,2
55748,"$17,000",18-May-2018,6.0%,0.207,Banco Santander,170,9
44028,"$11,000",22-Apr-2018,5.5%,0.207,JPMorgan Chase,110,8
38632,"$5,000",22-May-2020,5.0%,0.292,Deutsche Bank,50,1
47444,"$5,000",12-Sep-2018,5.0%,0.526,Goldman Sachs,50,8
56739,"$10,000",4-May-2021,5.5%,0.526,Fidelity,100,3
39119,"$18,000",9-Feb-2020,7.0%,0.526,Bank of America,180,3
59673,"$6,000",5-Feb-2020,8.5%,0.526,Goldman Sachs,60,5
51950,"$4,000",15-Jan-2019,5.0%,0.287,Capital One,40,6
38764,"$4,000",14-May-2017,3.5%,0.526,Bank of America,40,8
31198,"$15,000",14-Feb-2018,7.5%,0.287,Fidelity,150,6
50953,"$5,000",22-Sep-2019,5.0%,0.287,Citigroup,50,7
50666,"$10,000",21-Sep-2019,7.5%,0.522,Barclays,100,9
41144,"$15,000",8-Oct-2020,7.5%,0.287,Citigroup,150,7
56633,"$3,000",23-Mar-2020,9.0%,0.207,Citigroup,30,6
41062,"$10,000",30-Nov-2017,7.0%,0.522,Citigroup,100,8
33669,"$14,000",18-Feb-2019,4.0%,0.522,Wells Fargo,140,6
41753,"$24,000",26-Aug-2020,6.5%,0.207,Citigroup,240,10
60652,"$7,000",12-Jan-2019,6.5%,0.526,Citigroup,70,8
52651,"$2,000",5-Feb-2021,8.0%,0.292,American Express,20,1
35054,"$19,000",11-Mar-2019,4.0%,0.287,US Bancorp,190,7
58209,"$13,000",7-Aug-2017,7.5%,0.292,Suntrust,130,7
31427,"$4,000",23-Mar-2020,5.5%,0.526,Citigroup,40,6
35535,"$3,000",29-Aug-2018,5.0%,0.287,Barclays,30,1
54269,"$9,000",14-Jan-2018,6.5%,0.522,JPMorgan Chase,90,9
34853,"$16,000",29-Jan-2021,6.0%,0.287,Wells Fargo,160,2
39177,"$5,000",23-May-2018,5.0%,0.207,Bank of America,50,10
51022,"$18,000",5-Nov-2020,4.5%,0.526,Suntrust,180,4
39038,"$6,000",28-Mar-2018,3.5%,0.207,Capital One,60,7
37340,"$7,000",16-May-2019,8.5%,0.522,Barclays,70,9
52977,"$18,000",2-May-2019,3.0%,0.526,US Bancorp,180,8
55892,"$10,000",27-Jul-2019,4.0%,0.207,Citigroup,100,4
40002,"$5,000",9-Jun-2020,3.5%,0.526,Wells Fargo,50,3
50440,"$12,000",27-Mar-2020,6.5%,0.522,Banco Santander,120,4
60499,"$2,000",25-Dec-2017,6.0%,0.287,Deutsche Bank,20,9
34573,"$24,000",21-Apr-2018,7.0%,0.522,JPMorgan Chase,240,2
30036,"$3,000",21-Oct-2019,3.5%,0.287,Deutsche Bank,30,4
56407,"$2,000",28-Dec-2020,4.0%,0.287,HSBC,20,4
33238,"$19,000",20-Aug-2018,4.5%,0.526,US Bancorp,190,4
37654,"$8,000",1-Dec-2018,4.5%,0.526,Citigroup,80,4
49039,"$6,000",5-Sep-2019,6.5%,0.522,Bank of America,60,3
33546,"$4,000",12-Feb-2019,6.0%,0.287,Fidelity,40,9
39499,"$3,000",12-Feb-2020,8.0%,0.292,JPMorgan Chase,30,4
39240,"$12,000",31-Jul-2018,3.5%,0.292,US Bancorp,120,6
39704,"$19,000",7-Feb-2018,7.5%,0.522,American Express,190,9
37552,"$6,000",14-Jan-2020,7.0%,0.292,Wells Fargo,60,8
36458,"$2,000",9-Aug-2017,5.0%,0.207,Barclays,20,8
46336,"$11,000",5-Jun-2019,3.5%,0.287,Banco Santander,110,8
45923,"$10,000",19-Jul-2020,8.5%,0.207,Goldman Sachs,100,4
57779,"$15,000",3-Aug-2018,9.0%,0.287,Suntrust,150,10
47724,"$5,000",16-Feb-2021,7.0%,0.292,Citigroup,50,8
53364,"$14,000",27-Sep-2017,3.5%,0.526,Suntrust,140,4
47543,"$34,000",27-Nov-2017,9.0%,0.526,Wells Fargo,340,5
54561,"$1,000",20-Sep-2019,6.0%,0.292,Capital One,10,1
47176,"$17,000",14-Aug-2019,8.5%,0.526,HSBC,170,10
31018,"$8,000",3-Nov-2019,3.0%,0.287,Citigroup,80,1
51029,"$7,000",13-Oct-2019,8.5%,0.522,American Express,70,2
47668,"$6,000",29-Sep-2020,3.0%,0.526,US Bancorp,60,6
30430,"$4,000",16-Jul-2018,7.5%,0.287,JPMorgan Chase,40,5
40298,"$10,000",25-Jan-2020,6.5%,0.522,Goldman Sachs,100,5
32962,"$11,000",27-Aug-2017,5.0%,0.287,Deutsche Bank,110,1
46810,"$6,000",10-Jan-2019,4.5%,0.526,Wells Fargo,60,5
55938,"$21,000",19-Aug-2018,8.0%,0.292,TD Bank,210,8
36423,"$6,000",27-Sep-2018,5.5%,0.287,Banco Santander,60,3
42379,"$3,000",19-Sep-2018,3.0%,0.522,Bank of America,30,7
38921,"$8,000",13-Jun-2019,9.0%,0.287,American Express,80,6
58981,"$11,000",24-May-2019,8.0%,0.292,American Express,110,3
39539,"$7,000",18-Nov-2019,4.5%,0.287,Goldman Sachs,70,2
49416,"$12,000",12-May-2018,6.0%,0.526,Deutsche Bank,120,4
55451,"$10,000",9-Oct-2018,8.5%,0.287,Deutsche Bank,100,8
42456,"$3,000",11-Aug-2018,4.5%,0.287,JPMorgan Chase,30,10
56511,"$4,000",26-Dec-2018,3.0%,0.292,TD Bank,40,6
40890,"$4,000",20-May-2017,4.0%,0.522,US Bancorp,40,2
34175,"$4,000",27-Dec-2019,4.0%,0.522,JPMorgan Chase,40,3
41541,"$38,000",31-May-2018,5.5%,0.207,Goldman Sachs,380,5
33740,"$4,000",1-Jul-2019,3.5%,0.526,Wells Fargo,40,1
48292,"$15,000",24-Sep-2020,3.0%,0.522,HSBC,150,7
31095,"$13,000",8-May-2020,9.0%,0.522,Banco Santander,130,4
60675,"$7,000",27-May-2019,4.5%,0.287,HSBC,70,5
34191,"$10,000",4-May-2018,7.0%,0.526,TD Bank,100,8
30615,"$6,000",7-Apr-2021,3.0%,0.207,Deutsche Bank,60,8
47054,"$4,000",31-Aug-2019,5.5%,0.207,Citigroup,40,10
38924,"$6,000",20-Apr-2021,6.0%,0.522,American Express,60,4
32297,"$4,000",1-Dec-2019,5.0%,0.207,Goldman Sachs,40,4
43652,"$5,000",15-Oct-2020,9.0%,0.207,HSBC,50,1
46789,"$13,000",7-Mar-2021,3.0%,0.287,Suntrust,130,7
57365,"$3,000",14-Mar-2019,8.5%,0.292,TD Bank,30,4
46932,"$6,000",22-Aug-2019,3.0%,0.207,Goldman Sachs,60,9
43515,"$6,000",18-Jul-2020,5.5%,0.207,Fidelity,60,2
57181,"$2,000",28-Apr-2019,8.5%,0.526,Banco Santander,20,5
52151,"$17,000",12-Nov-2017,4.0%,0.522,Barclays,170,8
41203,"$4,000",3-May-2020,3.0%,0.292,TD Bank,40,1
35891,"$12,000",19-Jan-2018,4.5%,0.522,American Express,120,3
42012,"$4,000",5-Jul-2019,3.0%,0.287,TD Bank,40,6
45406,"$2,000",21-Jun-2018,7.5%,0.287,Deutsche Bank,20,10
42165,"$19,000",20-Oct-2020,6.0%,0.292,American Express,190,2
44490,"$5,000",15-Feb-2020,6.5%,0.292,Capital One,50,10
32616,"$6,000",29-Jul-2019,8.5%,0.526,Citigroup,60,6
59473,"$6,000",5-Jul-2019,8.0%,0.292,Goldman Sachs,60,6
31418,"$4,000",5-Nov-2018,4.0%,0.526,Goldman Sachs,40,5
48848,"$7,000",28-Aug-2020,8.0%,0.292,US Bancorp,70,8
45326,"$3,000",24-May-2017,4.5%,0.526,TD Bank,30,10
58593,"$2,000",15-Nov-2019,5.0%,0.522,Goldman Sachs,20,3
55047,"$8,000",4-Oct-2020,5.5%,0.287,Citigroup,80,2
42976,"$20,000",28-Feb-2021,8.5%,0.526,Goldman Sachs,200,8
51322,"$7,000",12-Jul-2018,6.5%,0.292,HSBC,70,1
44127,"$11,000",3-Dec-2018,4.0%,0.292,Wells Fargo,110,4
55546,"$4,000",25-Jun-2018,4.5%,0.522,Capital One,40,1
45966,"$19,000",20-Jan-2018,8.5%,0.526,Bank of America,190,8
44401,"$10,000",11-Jul-2019,6.5%,0.526,Bank of America,100,1
44447,"$11,000",5-Sep-2018,7.0%,0.292,Suntrust,110,1
41657,"$12,000",13-Mar-2018,3.0%,0.522,US Bancorp,120,6
49444,"$2,000",6-Jan-2020,3.5%,0.522,Capital One,20,6
41634,"$6,000",24-Dec-2020,4.5%,0.207,Bank of America,60,5
30577,"$10,000",19-Jun-2019,6.5%,0.287,Capital One,100,4
36521,"$19,000",29-Apr-2018,7.5%,0.207,Citigroup,190,5
33921,"$5,000",13-Nov-2020,9.0%,0.207,Suntrust,50,9
49466,"$6,000",12-Jan-2018,7.5%,0.522,TD Bank,60,9
41942,"$2,000",25-Dec-2019,9.0%,0.287,Bank of America,20,1
