ID,Healthcare,Utilities,Technology,Industrials,Financials,Consumer Goods,Basic Materials,Consumer Services,Oil & Gas,Telecommunications,Idiosyncratic
48898,0%,5%,0%,0%,75%,0%,0%,0%,0%,0%,20%
55213,0%,0%,0%,0%,15%,25%,0%,0%,45%,0%,15%
55868,0%,40%,0%,15%,0%,0%,0%,0%,0%,10%,35%
56476,0%,0%,0%,0%,25%,5%,0%,40%,0%,0%,30%
36023,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%
32427,0%,0%,0%,0%,0%,35%,0%,20%,0%,0%,45%
52841,0%,0%,0%,10%,0%,0%,0%,75%,0%,0%,15%
45722,0%,0%,0%,0%,0%,80%,0%,0%,0%,0%,20%
41490,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,50%
35522,0%,20%,0%,0%,0%,0%,0%,0%,35%,0%,45%
58680,0%,0%,0%,30%,20%,0%,0%,0%,0%,15%,35%
53366,0%,0%,25%,0%,0%,0%,45%,0%,0%,0%,30%
32080,0%,5%,0%,0%,0%,0%,0%,0%,45%,0%,50%
59242,25%,45%,0%,0%,0%,0%,0%,0%,0%,0%,30%
58928,0%,5%,0%,0%,0%,0%,0%,0%,0%,45%,50%
32945,55%,0%,0%,0%,15%,0%,0%,0%,5%,0%,25%
54732,0%,0%,0%,0%,0%,0%,45%,0%,0%,35%,20%
52543,0%,60%,0%,0%,0%,0%,0%,5%,0%,0%,35%
38393,0%,0%,40%,0%,0%,0%,0%,0%,20%,0%,40%
31889,0%,0%,0%,80%,0%,0%,0%,0%,0%,0%,20%
48248,0%,0%,0%,10%,0%,55%,0%,0%,15%,0%,20%
33258,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,50%
36320,0%,50%,0%,0%,0%,10%,0%,0%,0%,0%,40%
36858,15%,0%,0%,0%,20%,0%,25%,0%,0%,0%,40%
43119,0%,45%,0%,25%,0%,0%,0%,0%,15%,0%,15%
46405,0%,0%,0%,0%,0%,25%,0%,60%,0%,0%,15%
52822,5%,0%,0%,30%,25%,0%,0%,0%,0%,0%,40%
35350,0%,0%,10%,45%,0%,0%,0%,30%,0%,0%,15%
32065,0%,75%,0%,0%,0%,0%,0%,0%,5%,0%,20%
44070,0%,0%,0%,0%,0%,35%,5%,30%,0%,0%,30%
52603,0%,0%,0%,0%,0%,40%,0%,0%,35%,0%,25%
32364,45%,0%,0%,10%,0%,0%,0%,0%,0%,0%,45%
60498,0%,45%,0%,20%,0%,0%,0%,0%,0%,0%,35%
31956,0%,0%,0%,25%,0%,0%,50%,0%,0%,0%,25%
49869,0%,0%,0%,0%,0%,50%,0%,0%,5%,0%,45%
32881,65%,0%,0%,0%,0%,0%,0%,20%,0%,0%,15%
33956,0%,0%,0%,55%,0%,0%,25%,0%,0%,0%,20%
39961,45%,0%,0%,0%,0%,5%,0%,0%,0%,0%,50%
49678,0%,50%,0%,0%,5%,0%,0%,0%,0%,0%,45%
36433,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,40%
48388,30%,0%,0%,0%,0%,5%,0%,0%,0%,25%,40%
59509,0%,0%,0%,0%,0%,60%,0%,5%,5%,0%,30%
33273,0%,0%,0%,0%,0%,0%,15%,45%,0%,0%,40%
52281,0%,0%,20%,0%,0%,0%,0%,0%,30%,0%,50%
34801,0%,0%,0%,0%,0%,0%,40%,20%,0%,0%,40%
32434,0%,0%,55%,0%,0%,0%,0%,0%,0%,0%,45%
55782,0%,0%,65%,0%,0%,10%,0%,0%,0%,0%,25%
40652,0%,0%,5%,0%,10%,50%,0%,0%,0%,0%,35%
35032,0%,0%,0%,0%,0%,0%,0%,0%,40%,30%,30%
54257,0%,25%,0%,25%,0%,0%,0%,0%,0%,0%,50%
34126,0%,0%,0%,60%,0%,5%,5%,0%,0%,0%,30%
44053,45%,0%,0%,0%,5%,0%,0%,0%,0%,0%,50%
51302,0%,0%,55%,15%,0%,0%,0%,0%,0%,0%,30%
57098,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%
31029,0%,0%,0%,0%,0%,0%,70%,0%,10%,0%,20%
58486,15%,0%,0%,50%,0%,0%,15%,0%,0%,0%,20%
53554,0%,0%,65%,0%,0%,0%,0%,0%,0%,5%,30%
49693,0%,5%,0%,0%,0%,0%,0%,25%,55%,0%,15%
50421,0%,0%,15%,0%,0%,0%,55%,0%,0%,0%,30%
53104,0%,25%,0%,0%,0%,0%,40%,0%,0%,10%,25%
36215,0%,0%,20%,40%,0%,0%,0%,0%,0%,5%,35%
59395,5%,0%,0%,0%,0%,15%,35%,0%,0%,0%,45%
33522,0%,0%,0%,55%,0%,0%,0%,0%,0%,15%,30%
55572,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,45%
55629,0%,0%,0%,0%,0%,55%,10%,0%,0%,0%,35%
46541,0%,0%,10%,0%,0%,0%,15%,0%,45%,0%,30%
37155,0%,45%,5%,0%,0%,0%,0%,0%,0%,0%,50%
32403,20%,0%,5%,0%,0%,0%,35%,0%,0%,0%,40%
46984,0%,55%,25%,0%,0%,0%,5%,0%,0%,0%,15%
47538,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,45%
53882,5%,0%,0%,0%,0%,45%,0%,0%,0%,0%,50%
33106,0%,0%,5%,0%,10%,0%,0%,0%,50%,0%,35%
34382,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,40%
36714,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,40%
43759,0%,0%,20%,0%,0%,0%,0%,0%,30%,0%,50%
57072,0%,0%,25%,0%,0%,0%,0%,40%,5%,0%,30%
36964,0%,0%,10%,0%,0%,60%,0%,15%,0%,0%,15%
30931,0%,35%,0%,0%,35%,5%,0%,0%,0%,0%,25%
32789,0%,0%,0%,0%,0%,0%,20%,45%,0%,0%,35%
46639,0%,0%,0%,0%,0%,0%,75%,0%,0%,5%,20%
34915,0%,25%,0%,50%,0%,0%,0%,0%,0%,0%,25%
43155,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
41602,10%,0%,0%,0%,40%,35%,0%,0%,0%,0%,15%
31852,0%,0%,5%,0%,0%,0%,35%,10%,0%,0%,50%
31532,0%,0%,0%,25%,15%,0%,40%,0%,0%,0%,20%
35886,50%,0%,0%,0%,0%,35%,0%,0%,0%,0%,15%
48331,0%,0%,0%,45%,0%,35%,0%,0%,0%,0%,20%
45501,0%,0%,0%,0%,40%,0%,0%,0%,15%,0%,45%
48797,0%,0%,0%,20%,0%,0%,50%,0%,0%,0%,30%
43057,0%,0%,0%,35%,0%,25%,0%,0%,0%,0%,40%
44868,0%,0%,25%,0%,0%,55%,0%,0%,0%,0%,20%
54960,0%,0%,0%,0%,10%,0%,0%,0%,0%,45%,45%
30012,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%
32506,0%,0%,10%,0%,0%,40%,0%,0%,0%,0%,50%
38228,0%,0%,0%,0%,0%,55%,0%,0%,0%,0%,45%
57435,0%,0%,0%,0%,50%,0%,0%,10%,0%,0%,40%
44279,0%,15%,0%,0%,35%,0%,0%,0%,15%,0%,35%
31474,0%,35%,0%,45%,0%,0%,0%,0%,0%,0%,20%
47572,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
58265,0%,65%,20%,0%,0%,0%,0%,0%,0%,0%,15%
50117,0%,0%,0%,0%,0%,20%,0%,0%,30%,0%,50%
33226,0%,0%,0%,50%,0%,5%,0%,0%,0%,0%,45%
40834,0%,0%,0%,60%,5%,0%,0%,0%,0%,0%,35%
49424,0%,65%,10%,0%,0%,0%,10%,0%,0%,0%,15%
60555,20%,15%,0%,0%,0%,0%,0%,0%,45%,0%,20%
41777,0%,0%,0%,0%,0%,10%,0%,0%,0%,65%,25%
39647,0%,30%,0%,0%,0%,0%,0%,20%,0%,0%,50%
38798,0%,25%,0%,0%,55%,0%,0%,0%,0%,0%,20%
59241,0%,0%,0%,0%,30%,0%,0%,0%,0%,50%,20%
57819,0%,0%,0%,0%,0%,0%,45%,0%,0%,10%,45%
47487,0%,0%,0%,0%,0%,0%,5%,0%,70%,0%,25%
55531,15%,0%,0%,0%,0%,0%,0%,0%,0%,60%,25%
35737,35%,0%,0%,0%,0%,40%,0%,10%,0%,0%,15%
47390,0%,0%,5%,30%,0%,0%,0%,0%,15%,0%,50%
54289,0%,0%,55%,10%,0%,0%,0%,0%,0%,0%,35%
40826,0%,0%,20%,0%,0%,40%,20%,0%,0%,0%,20%
55641,0%,0%,0%,10%,0%,65%,0%,10%,0%,0%,15%
35623,60%,0%,0%,0%,0%,0%,0%,0%,25%,0%,15%
56692,0%,15%,0%,0%,0%,0%,0%,0%,10%,50%,25%
34023,70%,0%,0%,15%,0%,0%,0%,0%,0%,0%,15%
37864,0%,0%,0%,15%,0%,0%,0%,0%,0%,55%,30%
33477,65%,15%,0%,0%,0%,0%,0%,0%,0%,0%,20%
53421,0%,25%,0%,0%,0%,0%,0%,45%,0%,0%,30%
50769,0%,0%,0%,0%,0%,0%,0%,25%,0%,25%,50%
38145,0%,0%,50%,0%,0%,0%,0%,0%,20%,0%,30%
52179,0%,0%,5%,0%,0%,0%,0%,15%,35%,0%,45%
42495,0%,0%,20%,0%,5%,0%,0%,45%,0%,0%,30%
42848,50%,0%,0%,0%,0%,0%,0%,0%,10%,0%,40%
46347,0%,0%,15%,0%,55%,0%,0%,15%,0%,0%,15%
40223,0%,0%,0%,0%,25%,60%,0%,0%,0%,0%,15%
33977,70%,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%
59172,0%,0%,0%,0%,0%,0%,0%,10%,65%,0%,25%
35622,0%,0%,0%,35%,0%,0%,0%,0%,35%,0%,30%
41464,0%,0%,0%,0%,45%,25%,0%,0%,0%,0%,30%
51890,0%,55%,0%,20%,0%,0%,0%,0%,0%,0%,25%
56545,10%,0%,30%,0%,0%,0%,0%,0%,15%,0%,45%
50479,0%,0%,0%,0%,40%,0%,0%,0%,0%,35%,25%
42736,10%,65%,10%,0%,0%,0%,0%,0%,0%,0%,15%
47778,0%,0%,0%,0%,0%,0%,0%,0%,10%,60%,30%
51020,0%,0%,0%,0%,0%,0%,0%,0%,70%,0%,30%
59874,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,40%
49892,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%
59258,0%,0%,0%,0%,45%,35%,0%,0%,0%,0%,20%
51013,5%,0%,0%,5%,0%,0%,60%,0%,0%,0%,30%
49127,0%,40%,0%,0%,0%,0%,0%,20%,0%,0%,40%
33387,0%,0%,0%,0%,0%,0%,20%,0%,0%,60%,20%
59211,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,45%
45475,0%,0%,0%,20%,0%,65%,0%,0%,0%,0%,15%
46571,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,40%
47652,0%,25%,0%,0%,25%,0%,0%,0%,0%,0%,50%
33496,0%,0%,0%,0%,0%,0%,0%,0%,30%,30%,40%
39226,0%,0%,30%,0%,0%,0%,5%,25%,0%,0%,40%
39149,0%,55%,0%,0%,0%,0%,0%,5%,0%,0%,40%
32716,0%,25%,0%,0%,0%,0%,0%,0%,0%,30%,45%
30341,0%,0%,0%,0%,0%,20%,0%,10%,40%,0%,30%
53640,0%,0%,0%,0%,65%,20%,0%,0%,0%,0%,15%
36146,0%,15%,0%,0%,0%,0%,0%,0%,55%,0%,30%
37044,50%,20%,0%,0%,0%,0%,0%,0%,0%,0%,30%
54862,0%,0%,0%,0%,0%,0%,0%,65%,0%,0%,35%
57188,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%
54980,0%,0%,30%,45%,0%,0%,0%,0%,0%,0%,25%
41601,0%,0%,0%,0%,0%,0%,0%,0%,15%,35%,50%
44526,50%,0%,0%,10%,0%,0%,0%,25%,0%,0%,15%
41326,0%,0%,20%,0%,0%,45%,0%,0%,15%,0%,20%
40311,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,45%
50075,0%,0%,0%,0%,55%,0%,0%,0%,10%,0%,35%
32161,0%,15%,0%,0%,0%,65%,0%,0%,0%,0%,20%
31145,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,45%
56208,0%,0%,65%,0%,0%,0%,0%,5%,0%,0%,30%
45259,30%,0%,0%,40%,0%,0%,0%,0%,0%,15%,15%
49302,0%,0%,0%,20%,0%,0%,45%,0%,0%,0%,35%
30011,0%,55%,0%,15%,0%,0%,5%,0%,0%,0%,25%
40214,0%,45%,0%,0%,0%,0%,0%,5%,0%,15%,35%
55748,0%,0%,0%,0%,0%,0%,20%,0%,50%,0%,30%
44028,0%,0%,0%,0%,0%,15%,0%,65%,0%,0%,20%
38632,45%,0%,0%,0%,0%,0%,0%,5%,0%,20%,30%
47444,0%,0%,0%,0%,0%,5%,0%,45%,0%,0%,50%
56739,0%,0%,60%,0%,0%,10%,0%,0%,5%,0%,25%
39119,0%,0%,35%,0%,15%,0%,0%,0%,0%,0%,50%
59673,20%,0%,0%,0%,60%,0%,0%,0%,0%,0%,20%
51950,25%,0%,0%,0%,0%,30%,0%,0%,0%,0%,45%
38764,25%,0%,0%,0%,0%,0%,0%,55%,0%,0%,20%
31198,0%,0%,0%,15%,0%,60%,0%,0%,0%,0%,25%
50953,0%,0%,0%,0%,0%,0%,45%,20%,0%,0%,35%
50666,5%,0%,0%,0%,0%,0%,0%,0%,55%,15%,25%
41144,0%,0%,0%,15%,0%,0%,55%,0%,0%,5%,25%
56633,0%,15%,0%,0%,0%,60%,0%,0%,0%,0%,25%
41062,0%,0%,0%,0%,0%,0%,0%,55%,0%,0%,45%
33669,0%,0%,0%,0%,0%,40%,25%,0%,0%,0%,35%
41753,0%,0%,0%,15%,0%,0%,5%,0%,0%,50%,30%
60652,0%,0%,25%,0%,0%,10%,0%,40%,0%,0%,25%
52651,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%
35054,0%,15%,0%,0%,0%,0%,60%,0%,0%,0%,25%
58209,0%,0%,0%,0%,5%,0%,60%,0%,0%,10%,25%
31427,10%,0%,0%,0%,10%,50%,0%,0%,0%,0%,30%
35535,65%,0%,0%,20%,0%,0%,0%,0%,0%,0%,15%
54269,0%,25%,0%,0%,0%,0%,0%,25%,35%,0%,15%
34853,0%,45%,0%,0%,0%,0%,0%,0%,0%,15%,40%
39177,0%,0%,10%,0%,0%,0%,0%,0%,0%,55%,35%
51022,0%,0%,30%,55%,0%,0%,0%,0%,0%,0%,15%
39038,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%
37340,0%,0%,25%,0%,0%,0%,0%,0%,45%,0%,30%
52977,0%,0%,0%,0%,20%,0%,0%,65%,0%,0%,15%
55892,0%,0%,0%,55%,0%,0%,0%,20%,0%,0%,25%
40002,0%,10%,60%,0%,0%,0%,0%,0%,0%,0%,30%
50440,0%,10%,0%,65%,0%,0%,0%,5%,0%,0%,20%
60499,0%,0%,0%,0%,0%,0%,0%,0%,60%,25%,15%
34573,20%,65%,0%,0%,0%,0%,0%,0%,0%,0%,15%
30036,0%,15%,0%,60%,0%,0%,0%,0%,0%,0%,25%
56407,0%,20%,0%,55%,0%,0%,0%,0%,0%,0%,25%
33238,0%,0%,0%,50%,0%,0%,0%,25%,0%,0%,25%
37654,0%,0%,0%,45%,0%,10%,0%,0%,0%,0%,45%
49039,0%,0%,40%,10%,0%,0%,0%,0%,0%,0%,50%
33546,0%,0%,10%,0%,0%,0%,0%,0%,55%,0%,35%
39499,0%,20%,0%,50%,0%,0%,0%,0%,5%,0%,25%
39240,0%,0%,0%,0%,0%,50%,15%,0%,0%,0%,35%
39704,0%,0%,0%,0%,5%,0%,0%,0%,65%,5%,25%
37552,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,50%
36458,0%,0%,0%,0%,0%,15%,0%,45%,0%,0%,40%
46336,0%,0%,0%,0%,0%,0%,0%,45%,35%,0%,20%
45923,0%,0%,0%,35%,10%,0%,0%,10%,0%,0%,45%
57779,0%,0%,15%,5%,0%,0%,0%,0%,0%,65%,15%
47724,0%,0%,10%,0%,0%,0%,0%,60%,0%,0%,30%
53364,15%,0%,0%,60%,0%,0%,0%,5%,0%,0%,20%
47543,30%,0%,0%,0%,50%,0%,0%,0%,0%,0%,20%
54561,45%,0%,0%,0%,20%,0%,0%,0%,0%,0%,35%
47176,0%,0%,0%,5%,0%,0%,0%,0%,0%,80%,15%
31018,35%,0%,0%,0%,0%,0%,0%,0%,25%,0%,40%
51029,0%,45%,0%,0%,0%,0%,0%,0%,0%,20%,35%
47668,0%,0%,0%,0%,10%,40%,0%,20%,0%,0%,30%
30430,0%,0%,0%,0%,45%,0%,0%,0%,0%,10%,45%
40298,0%,0%,0%,0%,40%,0%,0%,0%,20%,0%,40%
32962,55%,10%,0%,0%,0%,0%,0%,0%,20%,0%,15%
46810,0%,0%,0%,0%,45%,0%,20%,0%,0%,0%,35%
55938,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,40%
36423,0%,0%,60%,0%,0%,0%,0%,0%,0%,10%,30%
42379,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,45%
38921,0%,0%,0%,0%,0%,70%,0%,0%,0%,15%,15%
58981,0%,0%,40%,0%,0%,0%,10%,0%,5%,0%,45%
39539,0%,80%,0%,0%,0%,0%,0%,0%,0%,0%,20%
49416,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
55451,0%,5%,0%,0%,0%,0%,0%,70%,0%,0%,25%
42456,0%,10%,0%,10%,0%,0%,0%,0%,0%,40%,40%
56511,0%,0%,0%,0%,10%,60%,0%,0%,0%,10%,20%
40890,0%,50%,0%,0%,0%,0%,0%,0%,5%,0%,45%
34175,0%,0%,40%,0%,0%,0%,0%,20%,0%,0%,40%
41541,0%,5%,0%,0%,35%,0%,0%,10%,0%,0%,50%
33740,50%,10%,0%,0%,0%,0%,0%,0%,0%,0%,40%
48292,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,40%
31095,10%,0%,0%,45%,0%,0%,0%,0%,0%,0%,45%
60675,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,50%
34191,0%,0%,0%,5%,0%,15%,0%,35%,0%,0%,45%
30615,0%,0%,15%,0%,0%,0%,0%,45%,0%,0%,40%
47054,15%,0%,0%,0%,0%,0%,0%,0%,5%,45%,35%
38924,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
32297,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,45%
43652,45%,0%,10%,0%,0%,0%,0%,0%,0%,0%,45%
46789,0%,0%,0%,0%,0%,0%,55%,0%,0%,0%,45%
57365,0%,0%,0%,40%,0%,0%,0%,10%,0%,0%,50%
46932,20%,0%,0%,0%,25%,0%,0%,0%,40%,0%,15%
43515,0%,50%,0%,20%,0%,0%,0%,0%,0%,15%,15%
57181,0%,0%,0%,5%,45%,0%,0%,0%,0%,0%,50%
52151,0%,0%,0%,0%,0%,0%,0%,55%,20%,0%,25%
41203,30%,0%,0%,0%,0%,20%,0%,0%,0%,0%,50%
35891,0%,0%,60%,0%,0%,0%,15%,0%,0%,0%,25%
42012,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
45406,20%,0%,0%,0%,0%,0%,0%,0%,0%,55%,25%
42165,0%,45%,0%,0%,0%,0%,0%,10%,0%,0%,45%
44490,0%,0%,0%,10%,0%,20%,0%,0%,0%,40%,30%
32616,0%,0%,0%,0%,0%,45%,10%,0%,0%,0%,45%
59473,0%,0%,0%,0%,0%,50%,0%,10%,0%,0%,40%
31418,0%,0%,0%,0%,40%,0%,35%,0%,5%,0%,20%
48848,0%,20%,0%,0%,0%,0%,0%,65%,0%,0%,15%
45326,0%,0%,20%,0%,0%,0%,0%,0%,25%,35%,20%
58593,25%,0%,55%,0%,5%,0%,0%,0%,0%,0%,15%
55047,0%,30%,0%,0%,0%,0%,0%,20%,0%,0%,50%
42976,0%,0%,0%,0%,0%,5%,0%,55%,0%,0%,40%
51322,40%,0%,0%,0%,0%,0%,0%,0%,0%,10%,50%
44127,0%,5%,10%,55%,0%,0%,0%,0%,0%,0%,30%
55546,40%,35%,0%,0%,0%,0%,0%,0%,0%,5%,20%
45966,0%,0%,5%,25%,0%,0%,0%,50%,0%,0%,20%
44401,55%,0%,0%,0%,0%,15%,15%,0%,0%,0%,15%
44447,45%,15%,20%,0%,0%,0%,0%,0%,0%,0%,20%
41657,0%,10%,0%,0%,5%,35%,0%,0%,0%,0%,50%
49444,0%,0%,0%,15%,0%,60%,0%,0%,0%,0%,25%
41634,0%,0%,0%,0%,70%,0%,0%,0%,0%,0%,30%
30577,0%,0%,0%,55%,0%,0%,0%,0%,0%,0%,45%
36521,10%,0%,0%,0%,60%,0%,0%,0%,0%,15%,15%
33921,0%,0%,0%,25%,0%,0%,0%,0%,50%,0%,25%
49466,0%,0%,0%,0%,0%,20%,0%,0%,35%,0%,45%
41942,50%,0%,0%,0%,0%,0%,0%,0%,15%,0%,35%
48461,55%,0%,0%,15%,0%,0%,15%,0%,0%,0%,15%
42675,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%,45%
44189,0%,40%,0%,0%,0%,10%,0%,0%,0%,0%,50%
30890,0%,0%,20%,0%,0%,0%,0%,40%,0%,0%,40%
55326,0%,0%,65%,0%,0%,0%,0%,10%,0%,0%,25%
40706,0%,0%,0%,0%,0%,0%,35%,0%,0%,20%,45%
34236,0%,0%,0%,0%,40%,0%,0%,45%,0%,0%,15%
57636,0%,0%,25%,0%,0%,0%,40%,0%,0%,0%,35%
54203,0%,0%,0%,60%,0%,15%,0%,0%,0%,0%,25%
39981,0%,0%,0%,50%,10%,0%,0%,15%,0%,0%,25%
30572,0%,65%,0%,0%,0%,0%,0%,20%,0%,0%,15%
42519,0%,0%,0%,65%,0%,0%,0%,0%,0%,0%,35%
47257,10%,0%,0%,0%,0%,0%,0%,0%,65%,0%,25%
32277,0%,0%,35%,0%,0%,5%,0%,45%,0%,0%,15%
